folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00090000|00000000-00000000-00000000-00090000||System-Default|||D||P||T001||Known Info  Male-Race|||||||||||||||
00000000-00000000-00000000-01090000|00000000-00000000-00000000-01090000||System-Default|||D||P||T001||Known Info  Female-Race|||||||||||||||
